clave,valor,price
0.0,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",4.99
1.0,"['Free to Play', 'Indie', 'RPG', 'Strategy']",0.0
3.0,"['Action', 'Adventure', 'Casual']",0.99
4.0,"['Action', 'Adventure', 'Simulation']",2.99
5.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']",3.99
6.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']",9.99
7.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']",18.99
8.0,"['Casual', 'Indie', 'Racing', 'Simulation']",29.99
9.0,"['Action', 'Indie', 'Simulation', 'Early Access']",0.0
10.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",0.0
12.0,"['Casual', 'Indie', 'Simulation']",10.99
13.0,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",3.99
14.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']",2.99
15.0,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",1.59
16.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']",14.99
17.0,"['Action', 'Adventure', 'Indie']",1.99
18.0,"['Racing', 'Simulation', 'Sports']",59.99
19.0,"['Racing', 'Simulation', 'Sports']",4.99
20.0,"['Action', 'Indie']",2.99
21.0,"['Action', 'Indie', 'Racing']",0.99
22.0,['Action'],0.99
23.0,"['Action', 'Indie', 'RPG']",2.99
24.0,"['Casual', 'Indie', 'Strategy']",2.99
25.0,['Action'],4.99
26.0,"['Casual', 'Indie', 'Simulation']",4.99
27.0,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",9.99
28.0,"['Adventure', 'Casual', 'Indie']",9.99
29.0,"['Action', 'Adventure', 'RPG']",1.99
30.0,"['Adventure', 'Casual', 'Indie', 'RPG']",3.99
31.0,['Strategy'],0.0
32.0,['Strategy'],0.0
33.0,"['Action', 'Indie', 'RPG']",0.99
34.0,['Strategy'],0.0
35.0,"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",0.0
36.0,"['Adventure', 'Free to Play', 'RPG', 'Early Access']",0.0
37.0,"['Action', 'Indie', 'Strategy', 'Early Access']",8.99
38.0,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",0.99
39.0,"['Action', 'Adventure', 'Indie', 'RPG']",6.99
40.0,"['Casual', 'Strategy', 'Early Access']",6.99
41.0,"['Action', 'Indie']",9.99
42.0,"['Action', 'Adventure', 'Casual']",0.0
43.0,"['Adventure', 'Casual', 'Free to Play', 'Indie']",0.0
44.0,['Action'],0.0
45.0,"['Indie', 'Strategy']",0.0
46.0,"['Action', 'Indie', 'RPG']",7.99
47.0,"['Indie', 'Simulation']",0.0
48.0,['Racing'],10.99
49.0,"['Casual', 'Indie']",9.99
50.0,"['Casual', 'Indie']",9.99
51.0,['Strategy'],29.99
52.0,['Strategy'],1.99
53.0,"['Adventure', 'RPG']",0.0
54.0,['Racing'],0.99
55.0,['Racing'],9.99
56.0,"['Action', 'Adventure']",9.99
57.0,['Strategy'],9.99
58.0,['RPG'],9.99
59.0,"['Action', 'Adventure', 'RPG']",39.99
61.0,['Strategy'],4.99
62.0,['Strategy'],4.99
63.0,['Strategy'],4.99
64.0,"['Casual', 'Indie']",19.99
65.0,['Strategy'],9.99
66.0,"['Action', 'Adventure']",7.49
67.0,['Action'],14.99
68.0,"['Action', 'Adventure']",9.99
69.0,['Action'],4.99
70.0,"['Indie', 'RPG']",9.99
71.0,"['Action', 'Adventure']",4.99
72.0,['Action'],9.99
73.0,['Action'],9.99
74.0,['Action'],19.99
75.0,['Action'],4.99
76.0,['Action'],4.99
77.0,['Action'],4.99
78.0,['Action'],8.99
79.0,['Action'],19.99
80.0,['Action'],19.99
81.0,['Action'],4.99
82.0,['Strategy'],0.0
83.0,['Strategy'],19.99
84.0,"['Action', 'RPG']",4.99
85.0,['Strategy'],14.99
86.0,['Strategy'],4.99
87.0,['Strategy'],4.99
